team,speler,positie,prijs,speler_id
Sparta Rotterdam,A Roaldsy,Midfielder,0.50,a-roaldsy
Ajax,Aaron Bouwman,Defender,1.50,aaron-bouwman
Ajax,Abdellah Ouazane,Midfielder,3.25,abdellah-ouazane
Telstar,Abdelnour Soualhia,Forward,0.75,abdelnour-soualhia
NEC,Adam Tahaui,Defender,0.50,adam-tahaui
FC Utrecht,Adrian Blake,Defender,2.50,adrian-blake
Ajax,Ahmetcan Kaplan,Goalkeeper,1.25,ahmetcan-kaplan
NEC,Ahmetcan Kaplan,Midfielder,2.75,ahmetcan-kaplan
PSV,Alassane Plea,Defender,2.75,alassane-plea
PSV,Alassane Pléa,Forward,0.50,alassane-plea
Willem II,Alessandro Ciranni,Forward,3.25,alessandro-ciranni
Go Ahead Eagles,Alfons Sampsted,Defender,1.00,alfons-sampsted
Excelsior,Alireza Jahanbakhsh,Forward,1.75,alireza-jahanbakhsh
NEC,Almugera Kabar,Goalkeeper,1.00,almugera-kabar
FC Groningen,Alvin Nordin,Forward,3.00,alvin-nordin
Willem II,Amine Et Taibi,Forward,3.50,amine-et-taibi
PSV,Amir Bouhamdi,Midfielder,4.50,amir-bouhamdi
AZ,Andrea Natali,Defender,2.75,andrea-natali
Sparta Rotterdam,Andrej Kostic,Forward,3.00,andrej-kostic
Sparta Rotterdam,Andrej Kostić,Forward,2.75,andrej-kostic
sc Heerenveen,Andries Noppert,Midfielder,0.75,andries-noppert
Feyenoord,Anel Ahmedhodzic,Defender,1.75,anel-ahmedhodzic
Feyenoord,Anis Hadj Moussa,Goalkeeper,1.50,anis-hadj-moussa
Fortuna Sittard,Anthony Descotte,Defender,1.50,anthony-descotte
Ajax,Anton Gaaei,Midfielder,2.00,anton-gaaei
PSV,Armando Obispo,Defender,1.25,armando-obispo
Willem II,Armin Culum,Defender,4.25,armin-culum
FC Utrecht,Artem Stepanov,Midfielder,3.00,artem-stepanov
FC Utrecht,Arthur Zagré,Defender,3.50,arthur-zagre
FC Twente,Aske Adelgaard,Defender,1.50,aske-adelgaard
Feyenoord,Ayase Ueda,Defender,2.00,ayase-ueda
Excelsior,Aymen Sliti,Forward,3.00,aymen-sliti
Sparta Rotterdam,Ayoni Santos,Midfielder,3.25,ayoni-santos
AZ,Ayoub Oufkir,Forward,3.50,ayoub-oufkir
FC Twente,Bart van Rooij,Defender,0.75,bart-van-rooij
Sparta Rotterdam,Bas Kuipers,Defender,1.50,bas-kuipers
