team,speler,positie,prijs,speler_id,rol,nieuw,blessure,behaald,verwacht
ADO Den Haag,Illaijh de Ruijter,Defender,1.20,illaijh-de-ruijter,,0,,1.0,2.219
ADO Den Haag,Jonas Jensen-Abbew,Defender,1.20,jonas-jensen-abbew,,1,,0.0,2.373
ADO Den Haag,Lasse Wilhelm,Defender,1.20,lasse-wilhelm,,1,,0.0,3.177
ADO Den Haag,Matteo Waem,Defender,1.50,matteo-waem,,0,,1.0,1.189
ADO Den Haag,Milan Hokke,Defender,1.50,milan-hokke,,0,,5.0,1.105
ADO Den Haag,Othniël Raterink,Defender,1.50,othniel-raterink,,0,,1.0,3.726
ADO Den Haag,Pascal Mulder,Defender,1.50,pascal-mulder,,0,,-2.0,3.68
ADO Den Haag,Sanyika Bergtop,Defender,1.00,sanyika-bergtop,,0,,,3.327
ADO Den Haag,Sekou Sylla,Defender,1.50,sekou-sylla,,0,,8.0,3.217
ADO Den Haag,Cameron Peupion,Forward,1.50,cameron-peupion,,0,duur onbekend,,2.093
ADO Den Haag,Dani van Loenen,Forward,1.00,dani-van-loenen,,1,,0.0,3.757
ADO Den Haag,Daryl van Mieghem,Forward,1.50,daryl-van-mieghem,,0,,1.0,3.344
ADO Den Haag,Donát Bárány,Forward,1.50,donat-barany,,1,,0.0,2.513
ADO Den Haag,Evan Rottier,Forward,1.50,evan-rottier,,0,,5.0,2.691
ADO Den Haag,Jalen Hawkins,Forward,1.20,jalen-hawkins,,0,,-2.0,2.424
ADO Den Haag,Jesse Bal,Forward,1.50,jesse-bal,,0,,7.0,2.281
ADO Den Haag,Luka Reischl,Forward,1.50,luka-reischl,,0,,0.0,3.695
ADO Den Haag,Nigel Thomas,Forward,1.20,nigel-thomas,,1,,,1.882
ADO Den Haag,Yannick Eduardo,Forward,1.50,yannick-eduardo,,0,,13.0,2.282
ADO Den Haag,Caleb Kramer,Goalkeeper,1.00,caleb-kramer,,1,,0.0,2.832
ADO Den Haag,Kilian Nikièma,Goalkeeper,1.50,kilian-nikiema,bank,0,,1.0,3.448
ADO Den Haag,Niclas Thiede,Goalkeeper,1.20,niclas-thiede,,1,,0.0,3.055
ADO Den Haag,Sem Eekhout,Goalkeeper,1.00,sem-eekhout,,1,,0.0,3.136
ADO Den Haag,Alexander Veselov,Midfielder,1.00,alexander-veselov,,1,,,3.773
ADO Den Haag,Finn de Bruin,Midfielder,1.20,finn-de-bruin,,0,,0.0,3.684
ADO Den Haag,Jan Zamburek,Midfielder,1.50,jan-zamburek,,0,,1.0,2.732
ADO Den Haag,Juho Kilo,Midfielder,1.50,juho-kilo,,0,,-2.0,1.688
ADO Den Haag,Matej Sin,Midfielder,1.50,matej-sin,,0,,0.0,2.219
ADO Den Haag,Mylian Jiménez,Midfielder,1.20,mylian-jimenez,,0,,-2.0,3.922
AZ,Andrea Natali,Defender,1.20,andrea-natali,,0,,0.0,2.284
AZ,Denso Kasius,Defender,2.20,denso-kasius,,0,duur onbekend,,1.46
AZ,Elijah Dijkstra,Defender,2.00,elijah-dijkstra,,0,,22.0,1.91
AZ,Mateo Chávez,Defender,2.00,mateo-chavez,basis,0,,41.0,3.252
AZ,Mees de Wit,Defender,2.50,mees-de-wit,,0,,12.0,1.173
AZ,Rion Ichihara,Defender,1.80,rion-ichihara,,0,,3.0,2.407
AZ,Seiya Maikuma,Defender,2.00,seiya-maikuma,,0,,15.0,1.331
AZ,Wesley Hoedt,Defender,2.00,wesley-hoedt,,1,,0.0,1.091
AZ,Wouter Goes,Defender,2.20,wouter-goes,,0,,26.0,3.345
AZ,Ayoub Oufkir,Forward,1.80,ayoub-oufkir,,0,,22.0,3.894
AZ,Bendegúz Kovács,Forward,1.20,bendeguz-kovacs,,0,,1.0,2.964
AZ,Jizz Hornkamp,Forward,2.00,jizz-hornkamp,,0,,16.0,3.915
AZ,Julian Oerip,Forward,1.20,julian-oerip,,1,,,1.538
AZ,Mexx Meerdink,Forward,2.50,mexx-meerdink,,0,,32.0,2.774
AZ,Ro-Zangelo Daal,Forward,2.00,ro-zangelo-daal,,0,,37.0,2.838
AZ,Wassim Bouziane,Forward,1.20,wassim-bouziane,,0,,,3.004
AZ,Weslley Patati,Forward,2.00,weslley-patati,,0,,19.0,1.716
AZ,Hobie Verhulst,Goalkeeper,1.80,hobie-verhulst,,0,geschorst tot en met 29 januari,0.0,1.889
AZ,Ismail Ka,Goalkeeper,1.50,ismail-ka,,1,,,2.989
AZ,Jari De Busser,Goalkeeper,2.20,jari-de-busser,,0,,26.0,1.673
AZ,Jeroen Zoet,Goalkeeper,2.00,jeroen-zoet,,0,,,3.35
AZ,Rome-Jayden Owusu-Oduro,Goalkeeper,2.20,rome-jayden-owusu-oduro,,0,,0.0,3.171
AZ,Calvin Stengs,Midfielder,2.20,calvin-stengs,,1,,30.0,1.618
AZ,Dave Kwakman,Midfielder,1.50,dave-kwakman,,0,,27.0,3.317
AZ,Hessel de Wit,Midfielder,1.20,hessel-de-wit,,0,,3.0,1.304
AZ,Jordy Clasie,Midfielder,1.80,jordy-clasie,,0,,18.0,1.135
AZ,Kees Smit,Midfielder,2.00,kees-smit,,0,duur onbekend,18.0,2.685
AZ,Lewis Schouten,Midfielder,1.20,lewis-schouten,,0,,32.0,1.475
AZ,Peer Koopmeiners,Midfielder,2.00,peer-koopmeiners,,0,,24.0,1.923
AZ,Stije Resink,Midfielder,1.80,stije-resink,,0,tot en met 1 januari,,2.934
AZ,Valdemar Byskov,Midfielder,2.00,valdemar-byskov,,1,,7.0,3.144
Ajax,Aaron Bouwman,Defender,2.50,aaron-bouwman,,0,,10.0,3.218
Ajax,Anton Gaaei,Defender,2.50,anton-gaaei,,0,,6.0,3.314
Ajax,Caio Henrique,Defender,2.50,caio-henrique,,1,,17.0,3.206
Ajax,Daley Blind,Defender,2.50,daley-blind,,1,duur onbekend,0.0,3.115
Ajax,Dies Janse,Defender,2.00,dies-janse,,0,,6.0,3.818
Ajax,Jofre Torrents,Defender,2.20,jofre-torrents,,1,,6.0,1.318
Ajax,Lucas Rosa,Defender,2.20,lucas-rosa,,0,,4.0,3.818
Ajax,Owen Wijndal,Defender,2.00,owen-wijndal,,0,,0.0,3.807
Ajax,Youri Baas,Defender,2.80,youri-baas,,0,,20.0,1.237
Ajax,Amourricho van Axel Dongen,Forward,1.50,amourricho-van-axel-dongen,,1,,,2.528
Ajax,Kasper Dolberg,Forward,2.50,kasper-dolberg,,0,,13.0,3.826
Ajax,Marcos Leonardo,Forward,3.00,marcos-leonardo,,1,,13.0,2.863
Ajax,Oliver Edvardsen,Forward,2.00,oliver-edvardsen,,0,,7.0,2.745
Ajax,Tolu Arokodare,Forward,2.50,tolu-arokodare,,0,,24.0,3.381
Ajax,Viktor Tsyhankov,Forward,3.00,viktor-tsyhankov,,1,,,3.906
Ajax,Joeri Heerkens,Goalkeeper,1.80,joeri-heerkens,,0,,0.0,3.179
Ajax,Maarten Paes,Goalkeeper,2.00,maarten-paes,,0,,0.0,3.495
Ajax,Marc-André ter Stegen,Goalkeeper,2.80,marc-ter-stegen,,1,,20.0,3.271
Ajax,Abdellah Ouazane,Midfielder,1.50,abdellah-ouazane,,0,,12.0,1.759
Ajax,Davy Klaassen,Midfielder,2.80,davy-klaassen,,0,,20.0,3.707
Ajax,Jorthy Mokio,Midfielder,2.00,jorthy-mokio,,0,,15.0,2.476
Ajax,Julian Brandt,Midfielder,2.80,julian-brandt,basis,0,,26.0,2.945
Ajax,Mohamed Abdalla,Midfielder,1.20,mohamed-abdalla,,1,,,3.945
Ajax,Oscar Gloukh,Midfielder,2.80,oscar-gloukh,,0,,16.0,1.442
Ajax,Rayane Bounida,Midfielder,2.00,rayane-bounida,,0,,,2.677
Ajax,Sofyan Amrabat,Midfielder,2.20,sofyan-amrabat,,1,,3.0,1.49
Ajax,Steven Berghuis,Midfielder,2.50,steven-berghuis,,0,,21.0,1.563
Excelsior,Casper Widell,Defender,1.50,casper-widell,,0,,26.0,1.429
Excelsior,Eric da Silva Moreira,Defender,1.20,eric-da-silva-moreira,,1,,10.0,1.36
Excelsior,Guilliano Cairo,Defender,1.00,giulliano-cairo,,0,,6.0,3.37
Excelsior,Jan Plug,Defender,1.50,jan-plug,,0,,13.0,1.552
Excelsior,Kasey Bos,Defender,1.50,kasey-bos,,1,,4.0,3.592
Excelsior,Marlon van de Wetering,Defender,1.00,marlon-van-de-wetering,,0,,,1.28
Excelsior,Osman Turay,Defender,1.20,osman-turay,,1,,6.0,1.38
Excelsior,Rick Meissen,Defender,1.50,rick-meissen,,0,,23.0,3.989
Excelsior,Simon Janssen,Defender,1.20,simon-janssen,,0,,25.0,1.47
Excelsior,Alireza Jahanbakhsh,Forward,1.80,alireza-jahanbakhsh,,1,,4.0,2.848
Excelsior,Aymen Sliti,Forward,1.50,aymen-sliti,,0,,18.0,1.064
Excelsior,David Garden,Forward,1.20,david-garden,,1,,28.0,2.36
Excelsior,Mario Domínguez,Forward,1.50,mario-dominguez,,1,,0.0,3.54
Excelsior,Nesto Groen,Forward,1.00,nesto-groen,,0,,13.0,2.902
Excelsior,Ágúst Orri Thorsteinsson,Forward,1.50,agust-orri-thorsteinsson,,1,,,3.304
Excelsior,Celton Biai,Goalkeeper,1.20,celton-biai,,0,,0.0,3.808
