ronde,datum,thuis,uit,kans_thuis,kans_gelijk,kans_uit,verwacht_thuis,verwacht_uit,soort
6,"vrijdag 11 september 2026, 20:00",AZ,Willem II,82,11,7,3,0,regulier
6,"zondag 13 september 2026, 12:15",Excelsior,FC Utrecht,42,25,33,1,1,regulier
6,"zaterdag 12 september 2026, 16:30",FC Twente,ADO Den Haag,76,14,10,2,0,regulier
6,"zaterdag 12 september 2026, 20:00",Fortuna Sittard,Ajax,16,18,66,1,2,regulier
6,"zaterdag 12 september 2026, 18:45",Go Ahead Eagles,FC Groningen,42,23,35,1,1,regulier
6,"zondag 13 september 2026, 16:45",PEC Zwolle,Feyenoord,16,18,66,1,2,regulier
6,"zondag 13 september 2026, 20:00",PSV,Sparta Rotterdam,79,12,9,3,1,regulier
6,"zaterdag 12 september 2026, 21:00",SC Cambuur,NEC,19,18,63,1,2,regulier
6,"zondag 13 september 2026, 14:30",sc Heerenveen,Telstar,56,21,23,2,1,regulier
3,"dinsdag 15 september 2026, 20:00",Ajax,Willem II,80,12,8,3,0,inhaal
