ronde,speler_id,speler,club,behaald
6,illaijh-de-ruijter,Illaijh de Ruijter,ADO Den Haag,1.0
6,jonas-jensen-abbew,Jonas Jensen-Abbew,ADO Den Haag,0.0
6,lasse-wilhelm,Lasse Wilhelm,ADO Den Haag,0.0
6,matteo-waem,Matteo Waem,ADO Den Haag,1.0
6,milan-hokke,Milan Hokke,ADO Den Haag,5.0
6,othniel-raterink,Othniël Raterink,ADO Den Haag,1.0
6,pascal-mulder,Pascal Mulder,ADO Den Haag,-2.0
6,sekou-sylla,Sekou Sylla,ADO Den Haag,11.0
6,dani-van-loenen,Dani van Loenen,ADO Den Haag,0.0
6,daryl-van-mieghem,Daryl van Mieghem,ADO Den Haag,1.0
6,evan-rottier,Evan Rottier,ADO Den Haag,5.0
6,jalen-hawkins,Jalen Hawkins,ADO Den Haag,1.0
6,jesse-bal,Jesse Bal,ADO Den Haag,7.0
6,luka-reischl,Luka Reischl,ADO Den Haag,0.0
6,yannick-eduardo,Yannick Eduardo,ADO Den Haag,13.0
6,caleb-kramer,Caleb Kramer,ADO Den Haag,0.0
6,kilian-nikiema,Kilian Nikièma,ADO Den Haag,1.0
6,niclas-thiede,Niclas Thiede,ADO Den Haag,0.0
6,sem-eekhout,Sem Eekhout,ADO Den Haag,0.0
6,finn-de-bruin,Finn de Bruin,ADO Den Haag,3.0
6,jan-zamburek,Jan Zamburek,ADO Den Haag,1.0
6,juho-kilo,Juho Kilo,ADO Den Haag,-2.0
6,matej-sin,Matej Sin,ADO Den Haag,0.0
6,mylian-jimenez,Mylian Jiménez,ADO Den Haag,-2.0
6,andrea-natali,Andrea Natali,AZ,0.0
6,elijah-dijkstra,Elijah Dijkstra,AZ,22.0
6,mateo-chavez,Mateo Chávez,AZ,41.0
6,mees-de-wit,Mees de Wit,AZ,12.0
6,rion-ichihara,Rion Ichihara,AZ,3.0
6,seiya-maikuma,Seiya Maikuma,AZ,15.0
6,wesley-hoedt,Wesley Hoedt,AZ,0.0
6,wouter-goes,Wouter Goes,AZ,26.0
6,ayoub-oufkir,Ayoub Oufkir,AZ,22.0
6,bendeguz-kovacs,Bendegúz Kovács,AZ,1.0
6,jizz-hornkamp,Jizz Hornkamp,AZ,16.0
6,mexx-meerdink,Mexx Meerdink,AZ,32.0
6,ro-zangelo-daal,Ro-Zangelo Daal,AZ,37.0
6,weslley-patati,Weslley Patati,AZ,19.0
6,hobie-verhulst,Hobie Verhulst,AZ,0.0
6,jari-de-busser,Jari De Busser,AZ,26.0
6,rome-jayden-owusu-oduro,Rome-Jayden Owusu-Oduro,AZ,0.0
6,calvin-stengs,Calvin Stengs,AZ,30.0
6,dave-kwakman,Dave Kwakman,AZ,27.0
6,hessel-de-wit,Hessel de Wit,AZ,3.0
6,jordy-clasie,Jordy Clasie,AZ,18.0
6,kees-smit,Kees Smit,AZ,18.0
6,lewis-schouten,Lewis Schouten,AZ,32.0
