speler,club,positie,prijs
Gjivai Zechiël,Feyenoord,Midfielder,2.00
Mohamed Ihattaren,Fortuna Sittard,Midfielder,2.00
Mexx Meerdink,AZ,Forward,2.50
Brynjólfur Willumsson,FC Groningen,Forward,1.75
Stijn van Gassel,Excelsior,Goalkeeper,1.75
Artem Stepanov,FC Utrecht,Forward,2.25
Oscar Gloukh,Ajax,Midfielder,2.75
Jacob Trenskow,sc Heerenveen,Forward,2.25
Lutsharel Geertruida,PSV,Defender,3.00
Aske Adelgaard,FC Twente,Defender,1.50
Shunsuke Mito,Sparta Rotterdam,Midfielder,2.00
Kjetil Haug,Go Ahead Eagles,Goalkeeper,1.50
Sekou Sylla,ADO Den Haag,Defender,1.50
Deveron Fonville,NEC,Defender,2.00
Jeff Hardeveld,Telstar,Defender,2.00
