ronde,datum,speler,club,tegenstander,thuis_uit,basis,minuten,goals,geel,rood,clean_sheet,ploegpunten,afwezig_reden,opgehaald
1,"zaterdag 8 augustus 2026, 21:00",Jari De Busser,AZ,ADO Den Haag,thuis,1,90,0,,,1,3,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Mateo Chávez,AZ,ADO Den Haag,thuis,1,90,0,,,1,3,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Lewis Schouten,AZ,ADO Den Haag,thuis,1,90,0,,,1,3,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Wouter Goes,AZ,ADO Den Haag,thuis,1,90,0,,,1,3,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Elijah Dijkstra,AZ,ADO Den Haag,thuis,1,90,0,,,1,3,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Peer Koopmeiners,AZ,ADO Den Haag,thuis,1,90,0,,,1,3,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Dave Kwakman,AZ,ADO Den Haag,thuis,1,90,0,,,1,3,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Ro-Zangelo Daal,AZ,ADO Den Haag,thuis,1,90,1,,,1,3,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Kees Smit,AZ,ADO Den Haag,thuis,1,90,0,,,1,3,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Weslley Patati,AZ,ADO Den Haag,thuis,1,90,0,,,1,3,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Mexx Meerdink,AZ,ADO Den Haag,thuis,1,90,0,,,1,3,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Kilian Nikièma,ADO Den Haag,AZ,uit,1,90,0,,,0,0,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Sekou Sylla,ADO Den Haag,AZ,uit,1,90,0,,,0,0,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Matteo Waem,ADO Den Haag,AZ,uit,1,90,0,,,0,0,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Pascal Mulder,ADO Den Haag,AZ,uit,1,90,0,,,0,0,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Milan Hokke,ADO Den Haag,AZ,uit,1,90,0,,,0,0,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Jalen Hawkins,ADO Den Haag,AZ,uit,1,90,0,,,0,0,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Juho Kilo,ADO Den Haag,AZ,uit,1,90,0,,,0,0,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Finn de Bruin,ADO Den Haag,AZ,uit,1,90,0,,,0,0,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Daryl van Mieghem,ADO Den Haag,AZ,uit,1,90,0,,,0,0,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Yannick Eduardo,ADO Den Haag,AZ,uit,1,90,0,,,0,0,,2026-08-14
1,"zaterdag 8 augustus 2026, 21:00",Evan Rottier,ADO Den Haag,AZ,uit,1,90,0,,,0,0,,2026-08-14
1,"zondag 9 augustus 2026, 14:30",Etienne Vaessen,FC Groningen,FC Utrecht,thuis,1,90,0,,,0,3,,2026-08-14
1,"zondag 9 augustus 2026, 14:30",Wouter Prins,FC Groningen,FC Utrecht,thuis,1,90,0,,,0,3,,2026-08-14
1,"zondag 9 augustus 2026, 14:30",Marco Rente,FC Groningen,FC Utrecht,thuis,1,90,0,,,0,3,,2026-08-14
